SRR14092286	s_FMT.0114D
SRR13697126	s_FMT.0114E
SRR13697125	s_FMT.0114G
SRR13697124	s_FMT.0114H
SRR14092285	s_FMT.0114I
SRR14092284	s_FMT.0114J
SRR13697123	s_FMT.0114K
SRR13697120	s_FMT.0114P
SRR14092283	s_FMT.0120A
SRR14092282	s_FMT.0120O
SRR14092281	s_FMT.0136B
SRR14092280	s_FMT.0136G
SRR13697119	s_FMT.0166A
SRR13697118	s_FMT.0166E
SRR13697117	s_FMT.0187A
SRR14092278	s_FMT.0187B
SRR14092277	s_FMT.0187C
SRR13697116	s_FMT.0187E
SRR14092276	s_FMT.0187M
SRR14092275	s_FMT.0187O
SRR14092274	s_FMT.0187P
SRR14092273	s_FMT.0187Q
